NAF rev. 2,BE,CZ,(C1),(C2),(C3),[CI],[CJ],[CK],(C4),[CL1],[CL2],(C5),[CB],[CC],[CE],[CF],[CG],[CH],[CM],DE,[BZ],[DZ],[EZ],FZ,RM040,RM050,RM060,RM070,RM090
_199909,108.42,110.19,99.9,236.37,113.12,103.74,148.61,108.61,120.54,156.79,86.64,109.25,460.17,153.3,85.58,46.91,113.76,134.48,91.61,97.92,124.62,96.41,97.58,111.16,119.97,106.59,119.24,95.67,101.64
_199910,109.8,111.86,100.98,206.54,113.7,100.49,153.19,112.46,124.56,163.34,87.93,111.07,465.19,151.79,87.52,50.11,115.09,137.21,92.33,97.71,124.82,96.3,96.22,111.67,122.09,107.96,120.5,97.64,100.91
_199911,109.86,111.72,100.58,246.59,111.66,98.82,151.66,109.7,123.99,162.5,87.66,111.5,454.03,152.41,89.06,51.05,115.65,138.22,91.8,98.83,125.35,97.53,96.5,112.47,122.55,107.05,119.3,97.65,102.75
_199912,108.88,110.75,93.77,242.35,115.19,106.55,152.48,108.8,119.82,164.37,75.88,111.4,446.68,154.9,87.14,50.22,115.6,137.41,93.82,97.83,123.04,96.46,96.89,111.81,122.27,107.16,121.93,93.52,101.69
_200001,109.71,111.58,93,258.24,114.86,105.02,151.55,110.36,124.74,170.17,80.33,112.02,443.46,151.96,86.43,51.65,116.62,140.45,93.81,98.73,126.03,97.38,96.68,114.13,123.07,109.04,121.39,93.14,102.87
_200002,110,112.03,94.15,259.54,115.47,107.65,151.96,108.33,125.08,165.71,86.22,112.24,436.19,154.59,87.16,49.66,117.51,142.16,93.77,98.08,125.87,96.57,97.2,110.25,124.52,109.09,121.05,92.97,102.27
_200003,110.73,112.64,94.09,256.79,117.31,109.2,158.15,108.48,126.11,167.04,86.97,112.6,440.1,155.4,87.2,50.01,118.69,142.31,93.44,99.53,128.44,98.11,97.21,115.5,125.64,109.37,123.53,93.17,103.53
_200004,111.4,113.3,95.44,253.42,121.46,115.08,154.75,113.91,121.5,162.37,82.14,113.15,438.46,157.13,87.42,48.62,117.01,142.8,97.09,100.21,126.15,98.98,97.6,113.26,126.46,110.05,123.63,93.46,104.18
_200005,112.76,115.07,95.96,224.34,126.13,124.26,160.68,111.91,120.88,159.07,84.56,115.16,437.79,157.94,86.5,53.3,119.19,145.89,98.17,99.11,129,97.48,98.28,119.31,128.37,111.57,126.85,95.57,102.03
_200006,111.3,113.4,95.19,246.52,123.19,121.16,150.38,112.68,119.04,158.35,81.32,113.45,428.45,158.7,87.67,52.06,116.03,140.65,97.98,98.9,120.54,97.77,97.66,116.2,125.69,110.17,125.16,94.43,102.85
_200007,112.62,114.66,97.12,253.13,121.18,114.5,154.74,113.91,125.32,163.05,89.81,114.42,436.31,163.83,87.47,50.53,118.8,144.29,96.58,100.58,125.09,99.52,97.11,116.26,127.1,111.17,127.66,96,104.64
_200008,111.61,113.33,96.99,273.9,120.1,114.14,151.32,112.97,117.74,154.58,82.77,113.79,418.64,158.79,87.5,50.89,118.25,143.12,97.85,101.48,129.11,100.23,98.16,120.43,127.28,108.69,123.48,94.21,106.02
_200009,111.87,113.99,96.45,247.3,120.87,112.51,157.99,114.16,121.48,163.02,81.35,114.36,427.95,158.7,86.53,53.39,120.41,142.71,96.88,99.4,126.59,97.85,99.31,117.39,127.28,109.85,118.28,96.07,103.2
_200010,113.19,115.34,96.7,255.12,123.25,117.62,153.99,115.9,123.56,165.41,83.19,115.48,426.74,159.84,88.77,53.89,120.3,144.51,98.07,100.56,126.38,99.19,99.43,119.82,128.25,111.63,123.34,96.72,104.63
_200011,112.98,115.23,94.71,259.72,119.25,109.23,159.3,113.37,128.04,171.71,85.87,116.1,419.43,159.04,89.43,54.19,121.06,146.49,98.71,99.74,128.11,98.21,98.82,118.97,127.35,113.25,124.68,95.51,103.84
_200012,113.92,116.78,96.79,254.25,120.96,108.8,158.8,119.01,129.83,177.27,83.44,117.47,422.69,159.6,89.76,55.6,123.24,147.92,99.96,97.06,136.6,94.68,98.33,126.36,128.6,115.66,122.19,97.09,100.54
_200101,113.48,115.85,92.63,268.6,123.54,116.58,164.04,113.43,131.44,175.34,88.99,115.67,421.01,157.33,88.38,54.45,121.22,145.06,98.63,99.48,130.01,97.57,100.83,120.97,129.02,114.18,125.65,94.09,103.51
_200102,114.2,116.61,94.37,261.51,123.51,116.06,164.17,113.95,133.09,179.91,87.8,116.27,419.68,159.3,88.62,55.87,122.38,144.1,99.21,99.97,130.76,97.95,102.25,121.09,129.23,114.8,128.07,95.75,103.86
_200103,114.69,117.21,93.44,250.5,124.46,116.77,167.58,114.14,136.98,181.79,93.66,116.55,419.42,157.49,86.17,57.78,120.96,146.34,100.41,99.85,122.37,98.28,102.49,119.95,129,116.8,127.01,95.56,103.99
_200104,112.81,114.6,97.68,253.99,120.36,114.41,162.15,108.47,128.11,175.11,82.65,113.78,411.44,154.92,83.73,58.84,118.93,140.59,96.85,102.28,124.05,101.14,101.09,120.35,125.43,111.11,125.88,98.31,106.53
_200105,113.66,115.59,98.48,257.84,118.39,109.99,156.16,111.31,130.2,175.58,86.32,115.49,411.93,155.99,86.05,59.68,120.65,143.16,98.23,102.31,128.27,101.08,99.68,122.24,126.18,112.81,124.26,99.24,106.4
_200106,113.72,115.82,97.14,260.95,119.21,111.8,161.44,108.98,131.13,179.59,84.25,115.82,400.56,157.28,87.84,59.12,120.82,141.72,100.41,101.32,129.52,99.68,101.34,121.45,126.74,113.84,125.35,97.9,105.36
_200107,112.16,113.88,96.49,252.75,116.49,109.11,159.02,106.14,129.2,171.86,87.97,113.79,393.56,153.62,87.11,58.72,118.77,141.78,95.9,102.11,128.5,100.68,101.1,122.22,126,110.3,119.66,97.2,106.07
_200108,114.91,116.93,98.63,259.67,122.35,113.36,159.09,116.4,132.94,179.89,87.54,116.06,387.65,154.21,87.1,60.91,121.06,143.93,100.7,103.04,129.78,101.68,101.14,122.22,127.2,116.47,117.31,99.08,107.1
_200109,113.26,114.59,97.65,268.09,116.42,106.12,156.46,110.78,134.97,184,87.54,113.52,392.13,152,84.02,58.28,119.69,140.72,97.95,105.48,125.3,104.73,101.67,121.98,124.34,114.12,117.45,97.17,110.06
_200110,112.53,114.78,98.47,263.11,118.26,109.95,156.64,110.81,131.56,174.06,90.49,113.78,386.8,152.99,87.12,59.21,119.2,139.47,97.66,99.28,127.18,97.32,102.65,122.63,124.5,113.37,122.21,98.19,103.31
_200111,111.24,112.44,96.95,258.45,116.37,111.11,145.42,109.08,126.57,168.57,85.96,111.64,368.37,150.98,84.55,59.2,115.97,137.51,96.46,104.27,123.58,103.19,103.93,122.89,121.43,111.36,118.29,96.69,108.61
_200112,111.91,112.7,99.16,247.88,116.73,107.68,151.02,111.99,128.42,169.95,88.28,111.06,355.29,148.7,81.08,60,115.98,137.3,97.72,107.36,122.22,106.79,104.63,122.45,120.52,112.41,119.93,97.75,111.77
_200201,111.91,113.61,98.31,238.13,118.02,107.75,160.02,111.27,126.75,170.89,84,112.94,365.92,152.46,83.47,62.87,117.89,136.8,98.25,101.94,123.31,100.35,105.12,121.45,122.07,112.79,112.59,99.13,105.9
_200202,112.33,114.59,100.03,238.15,118.58,107.52,156.79,114.68,132.15,175.55,90.09,112.88,361.12,154.22,84.61,61.41,118.73,138.22,96.72,99.25,124.39,97.37,103.13,121.16,123.19,114.33,114.54,99.32,102.97
_200203,112.83,114.86,100.83,239.33,119.15,112.3,152.59,111.55,130.12,175.95,85.74,113.42,359.64,152.57,85.76,62.63,118.62,139.48,97.08,101.01,123.9,99.25,104.9,122.32,123.92,113.62,115.91,100.04,104.89
_200204,113.52,115.46,98.66,240.77,118.06,108.27,150.02,115.28,136.51,183.98,90.54,114.05,361.91,154,84.63,62.79,120.96,141.82,96.22,102.24,124.63,100.54,105.84,121.51,124.33,115.8,113.18,99.37,106.17
_200205,112.53,113.8,99.71,252.12,119.36,109.79,153.08,115.43,126.41,175.19,79.2,112.49,356.79,153.45,83.38,60.86,117.8,140.11,96.25,104.98,121.45,104.09,104.47,120.64,123.81,112.04,114.94,98.33,109.42
_200206,112.4,113.75,97.12,258.82,118.28,108.81,146.05,117,130.56,181.23,81.54,112.55,355.15,150.66,84.21,61.11,118.77,140.56,95.79,104.34,122.78,103.55,101.98,121.3,124,113.27,114.9,96.51,108.77
_200207,111.24,112.55,96.87,247.68,116.16,106.24,144.46,115.3,124.17,175.63,74.4,112.54,340.9,151.28,85.29,61.22,118.63,142.13,95.12,103.43,123.47,102.77,99.01,120.53,123.73,110.21,115.12,96.61,107.61
_200208,113.25,115.16,100.33,241.33,118.41,109.83,149.23,114.45,133.86,188.15,81.34,113.5,349.35,152.44,84.14,62.11,120.06,143.33,96.01,102.09,119.17,101.01,102.98,119.72,124.8,114.45,116.56,98.99,106.29
_200209,111.88,113.21,97.91,238.99,116.32,106.86,142.13,115.96,126.61,177.03,77.84,112.88,338.98,148.71,85.65,65.09,117.73,141.19,95.59,104.02,122.57,103.42,99.94,122.03,123.1,111.34,115.28,98.42,108.17
_200210,110.96,112.2,98.81,226.09,114.04,106.03,139.83,111.69,128.75,182.27,76.99,111.09,331.97,148.12,84.05,60.65,118.13,141.67,92.88,103.55,117.26,102.85,102.78,120.39,122.76,109.64,117.13,97.33,107.74
_200211,112.04,113.81,98.98,236.35,117.14,111.25,144.41,111.09,129.28,180.09,80.12,112.85,332.93,150.93,85.16,63.67,119.62,142.78,94.23,101.69,118.78,100.51,103.5,121.02,124.19,111.27,117.61,99,105.78
_200212,109.41,110.57,97.79,241.13,111.62,102.15,138.24,110.97,124.97,175.86,75.76,109.93,324.99,151,85.11,59.81,118.05,138.09,90.56,102.48,121.12,101.64,100.51,121.55,121.3,107.16,114.23,96.83,106.6
_200301,111.7,112.66,97.8,241.2,117.42,110.62,134.14,117.41,130.48,178.73,83.82,110.79,327.37,148.94,86.29,62.7,116.43,138.41,92.28,105.83,112.79,105.34,106.69,117,121.06,112.52,112.48,97.71,110.48
_200302,112.69,112.99,98.16,257.55,118.91,113.63,141.47,114.2,125.55,176.65,76.08,111.78,324.58,149.64,85.05,62.72,118.74,138.6,95.38,110.58,118.94,110.68,105.93,121.32,122.65,111.81,112.95,97.69,115.47
_200303,111.82,113.54,98.35,254.44,118.94,108.09,142.02,120.96,130.17,177.96,83.95,111.76,314.8,150.17,86.49,64.32,120.05,137.75,93.65,101.71,124.08,100.25,103.38,123.42,123.11,113.26,109.79,98.17,105.8
_200304,111.83,113.3,99.54,232.42,116.57,109.19,136.11,115.96,132.31,179.34,86.85,111.34,309.67,148.33,86.61,63.6,119.98,138.1,93.29,103.1,122.15,101.69,105.94,121.36,122.64,112.66,113.32,98.48,106.98
_200305,109.23,110.35,97.02,252.87,113.27,109.79,134.04,107.2,126.36,173.09,81.16,108.88,299.62,149.39,81.61,63.28,117.84,133.72,91.85,102.47,118.28,101.1,106.49,118.28,119.2,109.03,111.44,96.61,106.85
_200306,108.92,109.84,98.3,254.72,112.81,106.06,133.74,110.75,119.97,170.42,71.09,109.05,305.86,151.63,80.31,65.37,118.12,135.55,88.8,103.35,120.26,101.98,106.89,122.14,119.36,105.53,110.46,98.82,107.7
_200307,110.88,111.86,99.01,259.58,113.95,106.44,134.23,113.16,126.63,176.3,78.54,110.71,303.99,152.83,81.97,68.61,117.94,135.6,92.08,104.95,120.33,102.94,114.55,121.79,119.92,109.63,112.22,100.08,109.44
_200308,110.38,111.37,96.25,257.37,115.56,110.82,137.23,110.64,126.1,175.08,78.7,110.31,298.36,150.44,82.52,66.16,118.89,138.09,90.83,104.36,119.82,102.83,109.88,120.97,120.72,109.45,115.35,97.32,108.8
_200309,109.99,111.26,98.69,260.66,114.47,110.97,131.27,110.32,126.63,173.57,81.23,109.56,288.81,151.02,83.25,64.95,120.27,136.07,89.5,102.45,121.1,100.87,106.83,120.9,121.23,108.45,113.81,97.81,106.79
_200310,112.65,113.26,97.05,270.11,119.56,118.09,135.88,113.06,128.81,178.35,80.87,111.66,295.77,151.45,84.12,65.79,121.73,138.45,93.37,108.85,123.97,108.31,106.29,121.58,122.4,113.04,112.13,97.83,113.51
_200311,110.46,111.41,96.86,262.13,115.94,111.08,136.46,111.71,126.12,176.65,77.21,110.05,272.8,149.5,85.43,65.65,120.88,136.97,90.74,104.7,123.73,103.49,105.84,120.32,121.8,110.01,108.27,96.54,109.03
_200312,111.14,112.1,97.14,263.96,115.64,110.18,133.77,113.3,130.11,177.39,84.39,110.45,278.21,152.71,85.44,67.65,120.4,137.49,89.24,105.31,121.93,104.21,106.77,121.63,123.38,109.69,106.53,97.69,109.84
_200401,111.82,112.74,98.64,257.53,117.89,119.32,128.53,110.74,127.01,175.33,80.78,111.08,278.86,153.29,83.46,67.23,121.65,139.68,90.61,106.25,122.14,105.43,105.77,121.52,122.91,110.62,112.2,98.47,110.71
_200402,112.98,114.28,97.08,266.22,121,120.23,128.71,117.92,126.7,177.24,77.8,113.44,287.93,152.95,85.38,67.93,121.98,142.24,95.6,105.3,123.12,104.19,106.48,123.22,124.03,114.01,112.18,98.24,109.91
_200403,112.62,113.28,97.21,264.61,117.72,113.29,127.91,117.68,128.5,179.69,78.98,112.21,290.93,154.59,82.89,67.6,122.81,142.55,90.68,108.39,122.17,107.61,108.61,122.99,123.56,111.14,115.79,98.62,113.09
_200404,112.64,113.68,96.46,277,120.4,119.48,131.23,115.89,130.93,182.65,80.98,111.79,285.75,152.12,82.29,66.22,122.14,141.3,93.03,106.36,121.92,105.42,107.11,121.9,123.27,113.87,111.83,97.2,111.33
_200405,112,112.83,95.29,251.49,118.08,115.59,129.25,115.25,128.35,183.93,73.57,112.03,280.04,149,84.76,70.07,122.18,140.27,91.93,106.89,121.63,106.25,105.34,121.73,123.27,111.62,109.84,97.47,111.25
_200406,113.11,114.38,97.27,248.96,118.03,112.9,129.43,118.18,134.88,189.09,82.33,112.93,289.42,151.63,85.95,68.32,123.75,142.26,91.81,105.6,120.89,104.63,106.65,121.88,124.88,113.28,117.84,98.38,109.85
_200407,113.56,114.99,97.1,256.18,122.35,121.16,133.87,117.81,135.65,195.94,75.9,112.61,272.12,150.33,86.64,67.36,124.27,139.76,94.53,105.14,120.25,104.28,105.32,121.44,124.7,116.18,116.63,97.15,109.61
_200408,109.56,110.29,95.11,252.89,118.11,118.62,130,111.39,119.18,160.47,80.64,109.3,252.56,148.29,84.96,68.11,117.74,138.11,90.02,105.01,116.99,104.66,102.25,119.8,122.29,107.5,107.05,95.01,109.53
_200409,113.36,114.57,96.43,252.71,120.49,114.36,132.48,121.51,137.79,193.52,83.67,112.21,263.63,150.75,86.06,67.57,123.74,140.31,93.85,106.13,119.51,105.41,105.86,122.67,124.4,115.92,119.61,96.4,110.55
_200410,114.22,115.36,95.91,255.88,123.09,124.59,130.56,117.49,140.3,196.16,86.27,112.51,258.3,151.12,89.63,69.03,123.72,139.8,92.67,107.41,118.82,107.16,103.98,122.75,124.79,117.3,121.21,96.63,111.97
_200411,112.33,113.04,96.91,239.73,115.77,110,127.94,116.27,138.19,191.9,86.54,110.69,252.75,149.56,80.78,69.32,123.67,139.06,92.15,107.83,118.83,107.91,101.79,123.75,122.44,114.28,110.62,96.65,111.99
_200412,112.57,113.42,95.44,255.64,117.72,115.51,126.46,115.82,139.62,195.7,85.27,110.86,249.97,152.39,81.44,68.83,125.46,139.15,90.9,107.31,117.84,107.57,100,119.81,123.51,114.49,113.64,95.8,111.93
_200501,114.37,115.82,95.96,256.67,123.9,119.08,133.45,124.59,135.05,190.75,82.82,114.16,246.26,152.28,85.58,68.44,127.82,143.08,97.79,105.93,124.45,105.56,100.13,126.62,126.79,117.54,116.65,96.34,110.29
_200502,113.11,113.74,94.87,253.36,120.26,115.69,129.71,120.72,136.75,190.2,86.62,111.46,240.15,149.46,85.53,69.71,123.29,137.62,94.54,109.02,113.54,109.54,102.42,121.99,122.71,115.74,115.9,95.9,113.8
_200503,110.64,111.33,94.09,281.5,117.4,113.09,128.61,116.71,130.41,181.94,82.08,109.14,219.62,147.31,84.39,68.22,121.45,135.83,92.48,106.24,113.96,105.91,105.35,121.87,120.85,112.21,114.46,93.63,111.89
_200504,113.52,114.73,94.57,266.46,120.49,116.05,131.25,120.16,139.19,193.38,88.36,112.64,235.1,149.84,86.14,72.75,125.35,139.89,94.16,106.36,120.08,106.53,98.32,125.23,123.99,116.67,120.52,96.21,111.22
_200505,112.3,113.1,95.06,243.81,116.1,108.38,127.18,119.34,139.65,188.96,93.34,110.92,219.98,148.3,85.06,70.42,124.28,137.04,94.67,107.3,117.82,107.04,104.45,126.03,121.92,116.19,113.82,94.93,111.56
_200506,112.17,112.95,94.5,245.77,118.72,110.08,132.22,121.82,137.31,189.62,88.24,110.56,226.81,148.61,83.73,70.26,123.72,137.18,93.48,107.28,119.05,107.09,103.27,126.29,122.27,115.86,111.16,94.57,111.55
_200507,111.85,112.91,94.58,247.78,118.72,112.83,131.04,119.28,135.81,182.58,91.87,110.74,219.71,147.87,83.61,71.07,124.06,137.57,94.25,105.52,120.74,105.02,102.44,127.71,122.39,115.39,113.5,94.63,109.71
_200508,111.21,111.7,96.64,251.63,114.9,109.34,130.15,113.65,125.42,160.95,91.95,111.02,209.14,151.46,85.81,72.79,121.71,138.78,93.76,107.86,121.21,107.84,101.58,127.97,122.28,110.68,110.69,96.33,112.16
_200509,114.02,115.33,95.99,248.21,122.78,118.89,135.93,120.64,139.04,187.88,93.16,112.88,210.14,152.77,87.19,73.24,124.96,139.52,96.99,106.33,116.49,106.26,102.03,127.52,124.51,118.55,114.66,96.5,110.59
_200510,110.7,111.93,95.26,227.57,119.56,112.58,137.66,118.49,127.14,167.15,89.5,110.51,197.58,150.45,85.62,72.23,122.6,136.87,94.74,103.4,116.25,103.1,99.77,126.19,122.88,112.29,113.27,94.73,106.98
_200511,115.14,116.31,97.55,261.15,122.11,112.47,138.31,125.04,139.76,183.14,98.95,114.06,208.14,154,87.15,72.78,125.93,142.97,98.85,108.14,119.66,108.34,100.82,127.69,125.95,119.72,115.19,96.81,112.74
_200512,113.75,114.77,96.17,254.18,124.88,118.84,141.2,123.63,132.49,175.05,92.47,112.48,211.87,154.19,87.09,72.54,124.98,139.51,95.26,107.63,122.24,107.48,101.89,126.12,124.89,116.4,112.77,96.72,111.98
_200601,113.03,113.83,93.85,248.28,123.79,120.19,142.55,118.84,133.84,175.46,94.78,111.59,201.05,149.39,85.41,69.97,123.22,141.75,96.78,107.95,120.28,108.11,100.84,127.51,124.43,117.31,114.01,93.14,112.26
_200602,112.27,113.3,94.41,234.03,123.54,115.87,139.39,124.35,131.06,166.4,97.74,111.25,195.15,149.28,82.6,72.61,122.25,140.14,97.74,106.02,120.99,105.98,99.19,126.04,122.84,116.49,118.04,94.11,109.86
_200603,114.29,115.65,96.71,246.42,126.59,122.33,142.36,123.67,134.61,173.53,97.99,113.09,204.83,150.09,86.48,73.84,123.41,142.4,97.96,106.37,119.39,106.59,98.37,126.61,124.84,118.82,117.58,96.65,110.59
_200604,113.74,114.2,95.85,226.31,124.76,119.59,137.86,124.04,132.34,168.99,97.81,111.91,193.11,145.62,86.03,74.67,123.46,142.3,95.47,110.34,121.36,110.99,99.79,127.24,124.47,116.5,118.47,95.3,114.06
_200605,115.54,117.15,96.87,234.35,126.4,118.01,146,126.33,142.55,182.37,105.04,114.23,198.98,150.33,87.2,73.25,127.33,144.48,99.19,106.29,123.13,105.94,101.14,128.3,127.02,122.22,114.77,96.08,109.99
_200606,115.33,116.96,95.5,244.23,130.5,126.21,146.97,127.3,134.64,174.49,97.18,114.74,191.92,150.71,88.48,72.53,126.39,146.68,100.94,105.97,122.63,104.91,106.85,129.1,127.79,121.69,116.02,94.82,109.93
_200607,113.83,115.05,97.29,241.58,126.08,118.8,141.75,126.54,132.84,166.34,101.18,112.39,200.79,148.88,85.19,73.85,121.92,143.2,97.2,106.6,117.78,106.53,101.98,127.88,124.22,118.63,110.29,96.41,110.73
_200608,113.06,114.25,97.23,252.67,124.12,113.47,143.77,126.5,126.07,164.88,89.64,112.79,202.17,150.01,85.89,69.37,125.2,144.01,98.56,105.98,122.21,105.53,101.9,129.04,125.49,116.56,106.23,95.1,110.19
_200609,114.8,116.29,96.08,263.66,126.52,117.58,144.56,127.73,137.2,166.92,108.92,113.75,201.8,146.62,85.89,71.98,124.8,146.11,100.25,106.16,120.92,106,100.46,128.68,125.15,122.05,108.46,95.61,110.75
_200610,113.84,115.56,96.97,253.91,125.51,112.29,139.68,133.15,131.12,162.97,100.97,113.78,187.32,147.77,86.05,72.6,125.39,145.99,101.07,104.07,122.46,103.47,100.16,131.19,125.16,120.43,108.18,95.38,108.26
_200611,113.14,114.72,96.42,254.44,125.16,114.84,144.88,127.16,127.68,162.97,94.44,113.24,189.73,145.67,86.95,72.04,125.51,144.96,99.63,104.04,125.52,103.25,100.21,131.43,125.35,117.53,112.62,95.26,108.09
_200612,115.06,116.94,97.41,252.73,128.63,114.63,146.42,135.51,129.27,162.01,98.32,115.66,188.65,151.93,90.11,71.64,128.25,147.44,102.68,104.43,131.62,103.17,101.63,138.16,128.73,120.55,114.12,95.67,108.08
_200701,113.83,115.95,97.46,254.66,125.13,113.39,144.45,128.85,131.47,162.88,101.7,114.29,178.02,147.27,90.34,76.57,125.1,144.68,99.97,101.6,122.71,100.45,99.63,129.76,125.98,119.4,109.92,96.68,105.89
_200702,114.85,116.9,98.09,254.74,126.34,114.6,148.95,128.54,136.83,173.64,102.1,114.41,179.1,147.82,91.16,73.54,128.26,147.78,97.22,102.97,124.1,102.01,99.74,135.16,128.37,119.92,109.38,96.54,107.15
_200703,115.73,117.5,97.42,236.78,128.57,119.44,148.21,129.2,137.07,174.79,101.51,115.24,180.18,149.38,92.76,71.73,128.98,148.73,99.24,105.63,125.06,105.51,97.61,133.88,129.7,121.34,108.04,95.89,109.08
_200704,113.83,116.04,99.18,238.9,127.02,112.53,149.52,132.36,130.83,169.75,94.22,113.76,184.46,147.53,90.09,71.35,126.74,144.39,99.83,101.03,121.58,99.67,100.78,134.15,127.21,118.85,108.44,96.61,104.6
_200705,116.57,118.73,99.15,287.47,127.99,114.65,150.75,131.9,138.51,173.07,105.81,116.17,182.05,151.6,93.15,73.2,128.32,149.1,101.1,104.1,124.8,103.75,96.94,135.09,128.98,123.2,109.33,97.56,109.65
